Name,ShortName,Service,PID,ModeAndPID,Header,Module,Network,Equation_Metric,Min_Metric,Max_Metric,Unit_Metric,Equation_Imperial,Min_Imperial,Max_Imperial,Unit_Imperial,VehicleScope,DataClass,Status,Source,Notes
Demanded Engine Torque,Dem Trq,01,61,0161,Auto,Auto,Auto,A-125,-125.0,125.0,%,A-125,-125.0,125.0,%,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Actual Engine Torque,Act Trq,01,62,0162,Auto,Auto,Auto,A-125,-125.0,125.0,%,A-125,-125.0,125.0,%,Ford All Models (OBD2),generic_obd2,baseline,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Misfire Cylinder 1,MFC1,06,A20C,06A20C,Auto,Auto,Auto,G*256+H,0.0,65535.0,Count,G*256+H,0.0,65535.0,Count,Ford V8/V6/I4 (Mode 06),ford_extended_candidate,candidate,User-provided Gemini deepsearch,Candidate Ford extended PID; confirm on vehicle.
Misfire Cylinder 2,MFC2,06,A30C,06A30C,Auto,Auto,Auto,G*256+H,0.0,65535.0,Count,G*256+H,0.0,65535.0,Count,Ford V8/V6/I4 (Mode 06),ford_extended_candidate,candidate,User-provided Gemini deepsearch,Candidate Ford extended PID; confirm on vehicle.
Misfire Cylinder 3,MFC3,06,A40C,06A40C,Auto,Auto,Auto,G*256+H,0.0,65535.0,Count,G*256+H,0.0,65535.0,Count,Ford V8/V6/I4 (Mode 06),ford_extended_candidate,candidate,User-provided Gemini deepsearch,Candidate Ford extended PID; confirm on vehicle.
Misfire Cylinder 4,MFC4,06,A50C,06A50C,Auto,Auto,Auto,G*256+H,0.0,65535.0,Count,G*256+H,0.0,65535.0,Count,Ford V8/V6/I4 (Mode 06),ford_extended_candidate,candidate,User-provided Gemini deepsearch,Candidate Ford extended PID; confirm on vehicle.
Misfire Cylinder 5,MFC5,06,A60C,06A60C,Auto,Auto,Auto,G*256+H,0.0,65535.0,Count,G*256+H,0.0,65535.0,Count,Ford V8/V6 (Mode 06),ford_extended_candidate,candidate,User-provided Gemini deepsearch,Candidate Ford extended PID; confirm on vehicle.
Misfire Cylinder 6,MFC6,06,A70C,06A70C,Auto,Auto,Auto,G*256+H,0.0,65535.0,Count,G*256+H,0.0,65535.0,Count,Ford V8/V6 (Mode 06),ford_extended_candidate,candidate,User-provided Gemini deepsearch,Candidate Ford extended PID; confirm on vehicle.
Misfire Cylinder 7,MFC7,06,A80C,06A80C,Auto,Auto,Auto,G*256+H,0.0,65535.0,Count,G*256+H,0.0,65535.0,Count,Ford V8 5.0L/4.6L/5.4L (Mode 06),ford_extended_candidate,candidate,User-provided Gemini deepsearch,Candidate Ford extended PID; confirm on vehicle.
Misfire Cylinder 8,MFC8,06,A90C,06A90C,Auto,Auto,Auto,G*256+H,0.0,65535.0,Count,G*256+H,0.0,65535.0,Count,Ford V8 5.0L/4.6L/5.4L (Mode 06),ford_extended_candidate,candidate,User-provided Gemini deepsearch,Candidate Ford extended PID; confirm on vehicle.
Engine Coolant Temp 1 6.7L,ECT 1,22,0105,220105,7E0,PCM/ECM,HS-CAN likely,A-40,-40.0,215.0,°C,((A-40)*9/5)+32,-40.0,419.0,°F,Ford PowerStroke 6.7L,powersroke_non_smax,candidate,User-provided Gemini deepsearch,Mostly non-S-Max; kept as Ford reference candidate.
Manifold Absolute Pressure Sensor Voltage,MAP Sensor V,22,0301,220301,Auto,Auto,Auto,((signed(A)*256)+B)/1024,0.0,5.0,V,((signed(A)*256)+B)/1024,0.0,5.0,V,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Low Pressure Fuel Pump Commanded Duty Cycle,LPFP DC,22,0307,220307,Auto,Auto,Auto,((A*256)+B)/327.68,0.0,100.0,%,((A*256)+B)/327.68,0.0,100.0,%,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Commanded Lambda,Cmd Lambda,22,030F,22030F,Auto,Auto,Auto,((A*256)+B)/32768,0.0,5.0,?,((A*256)+B)/32768,0.0,5.0,?,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
VCT Intake Cam Solenoid Duty Cycle,VCT Int DC,22,0316,220316,Auto,Auto,Auto,((A*256)+B)/327.68,0.0,100.0,%,((A*256)+B)/327.68,0.0,100.0,%,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
VCT Exhaust Cam Solenoid Duty Cycle,VCT Exh DC,22,0317,220317,Auto,Auto,Auto,((A*256)+B)/327.68,0.0,100.0,%,((A*256)+B)/327.68,0.0,100.0,%,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
VCT Intake Cam Actual,VCT Int Act,22,0318,220318,Auto,Auto,Auto,((signed(A)*256)+B)/16,-50.0,0.0,°,((signed(A)*256)+B)/16,-50.0,0.0,°,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
VCT Exhaust Cam Actual,VCT Exh Act,22,0319,220319,Auto,Auto,Auto,((signed(A)*256)+B)/16,0.0,50.0,°,((signed(A)*256)+B)/16,0.0,50.0,°,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
VCT Intake Cam Error,VCT Int Err,22,031A,22031A,Auto,Auto,Auto,((signed(A)*256)+B)/16,-50.0,50.0,°,((signed(A)*256)+B)/16,-50.0,50.0,°,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
FlexFuel Inferred Ethanol %,Eth %,22,031B,22031B,Auto,Auto,Auto,A*(100/255),0.0,100.0,%,A*(100/255),0.0,100.0,%,Ford FlexFuel (Focus/Mustang),flexfuel_non_smax,candidate,User-provided Gemini deepsearch,Mostly non-S-Max; kept as Ford reference candidate.
VCT Exhaust Cam Error,VCT Exh Err,22,031B,22031B,Auto,Auto,Auto,((signed(A)*256)+B)/16,-50.0,50.0,°,((signed(A)*256)+B)/16,-50.0,50.0,°,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
High Pressure Fuel Rail Sensor Voltage,HPFP Sensor V,22,0324,220324,Auto,Auto,Auto,((A*256)+B)/204.6,0.0,5.0,V,((A*256)+B)/204.6,0.0,5.0,V,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Accelerator Pedal Position,APP,22,032B,22032B,Auto,Auto,Auto,A/2,0.0,100.0,%,A/2,0.0,100.0,%,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Electronic Throttle Control Learned Trim Angle,ETC Lrn Trim,22,0338,220338,Auto,Auto,Auto,((signed(A)*256)+B)/512,-90.0,90.0,°,((signed(A)*256)+B)/512,-90.0,90.0,°,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Throttle Inlet Pressure Sensor Voltage,TIP Sensor V,22,033C,22033C,Auto,Auto,Auto,((A*256)+B)/204.8,0.0,5.0,V,((A*256)+B)/204.8,0.0,5.0,V,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Throttle Inlet Pressure Absolute,TIP Actual Abs,22,033E,22033E,Auto,Auto,Auto,(((A*256)+B)/903.8107848)/0.145038,0.0,413.6846895296405,kPa,((A*256)+B)/903.8107848,0.0,60.0,psi,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Barometric Pressure,Baro,22,0353,220353,Auto,Auto,Auto,(((A*256)+B)/27.582114)/0.145038,55.15795860395207,137.89489650988017,kPa,((A*256)+B)/27.582114,8.0,20.0,psi,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Barometric Pressure Sensor Voltage,Baro Sensor V,22,035A,22035A,Auto,Auto,Auto,((A*256)+B)/204.6,0.0,5.0,V,((A*256)+B)/204.6,0.0,5.0,V,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Rear O2 Voltage,Rear O2 V,22,035F,22035F,Auto,Auto,Auto,((signed(A)*256)+B)/1024,0.0,1.0,V,((signed(A)*256)+B)/1024,0.0,1.0,V,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Evaporative Vapor Pressure Sensor Voltage,Evap Pres Sensor V,22,038E,22038E,Auto,Auto,Auto,((signed(A)*256)+B)/5.0048876,0.0,5.0,V,((signed(A)*256)+B)/5.0048876,0.0,5.0,V,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Engine Coolant Temperature,ECT,22,038F,22038F,Auto,Auto,Auto,((((signed(A)*256)+B)/64*1.8+32)-32)*5/9,-40.0,148.88888888888889,°C,((signed(A)*256)+B)/64*1.8+32,-40.0,300.0,°F,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Air Conditioning Compressor Pressure,AC Pressure,22,0393,220393,Auto,Auto,Auto,(((signed(A)*256)+B)/3.4473784)/0.145038,-689.4744825494008,6894.744825494008,kPa,((signed(A)*256)+B)/3.4473784,-100.0,1000.0,psi,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
ETC Sensor Error,ETC Sens Err,22,03A7,2203A7,Auto,Auto,Auto,A,-90.0,90.0,°,A,-90.0,90.0,°,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Ambient Air Temperature Sensor Voltage,AAT Sensor V,22,03BA,2203BA,Auto,Auto,Auto,((A*256)+B)/204.6,0.0,5.0,V,((A*256)+B)/204.6,0.0,5.0,V,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
VCT Exhaust Cam Desired,VCT Exh Des,22,03BB,2203BB,Auto,Auto,Auto,((signed(A)*256)+B)/16,0.0,50.0,°,((signed(A)*256)+B)/16,0.0,50.0,°,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
VCT Intake Cam Desired,VCT Int Des,22,03BC,2203BC,Auto,Auto,Auto,((signed(A)*256)+B)/16,-50.0,0.0,°,((signed(A)*256)+B)/16,-50.0,0.0,°,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Closed Loop Lambda Correction,CL Lambda Corr,22,03BD,2203BD,Auto,Auto,Auto,((signed(A)*256)+B)/8192,-5.0,5.0,?,((signed(A)*256)+B)/8192,-5.0,5.0,?,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Manifold Charge Temperature,MCT,22,03CA,2203CA,Auto,Auto,Auto,((A*1.8+32)-32)*5/9,-40.0,148.88888888888889,°C,A*1.8+32,-40.0,300.0,°F,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
High Pressure Fuel Pressure Desired,HPFP Desired,22,03DC,2203DC,Auto,Auto,Auto,(((signed(A)*256)+B)/0.68947572)/0.145038,0.0,24131.60688922903,kPa,((signed(A)*256)+B)/0.68947572,0.0,3500.0,psi,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Knock Sensor 1,KS1,22,03E6,2203E6,Auto,Auto,Auto,((A*256)+B)/1000,0.0,5.0,V,((A*256)+B)/1000,0.0,5.0,V,Ford EcoBoost / Coyote 5.0L,ecoboost_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Knock Sensor 2,KS2,22,03E7,2203E7,Auto,Auto,Auto,((A*256)+B)/1000,0.0,5.0,V,((A*256)+B)/1000,0.0,5.0,V,Ford EcoBoost / Coyote 5.0L,ecoboost_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Octane Adjust Ratio,OAR,22,03E8,2203E8,Auto,Auto,Auto,((signed(A)*256)+B)/16384,-1.0,1.0,,((signed(A)*256)+B)/16384,-1.0,1.0,,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Ignition Correction Cylinder 1,Ign Corr Cyl 1,22,03EC,2203EC,Auto,Auto,Auto,((signed(A)*256)+B)/-512,-16.0,16.0,°,((signed(A)*256)+B)/-512,-16.0,16.0,°,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Knock Sensor 1 Raw,KS1 Raw,22,0403,220403,Auto,Auto,Auto,((A*256)+B),0.0,32768.0,,((A*256)+B),0.0,32768.0,,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Knock Sensor 2 Raw,KS2 Raw,22,0404,220404,Auto,Auto,Auto,((A*256)+B),0.0,32768.0,,((A*256)+B),0.0,32768.0,,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Low Pressure Fuel Pressure Desired,LPFP Desired,22,041F,22041F,Auto,Auto,Auto,(A/2.2982523)/0.145038,0.0,1378.9489650988016,kPa,A/2.2982523,0.0,200.0,psi,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Bypass Valve Commanded Open,BPV Open,22,0427,220427,Auto,Auto,Auto,A/256,0.0,1.0,0/1,A/256,0.0,1.0,0/1,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Charge Air Temperature Sensor Voltage,CAT Sensor V,22,0460,220460,Auto,Auto,Auto,((signed(A)*256)+B)/1024,0.0,5.0,V,((signed(A)*256)+B)/1024,0.0,5.0,V,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Charge Air Cooler Temp,CAC Temp,22,0461,220461,Auto,Auto,Auto,A-40,-40.0,150.0,°C,((A-40)*9/5)+32,-40.0,302.0,°F,Ford EcoBoost (1.5/2.0/2.3/3.5L),ecoboost_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Charge Air Temperature,CAT,22,0461,220461,Auto,Auto,Auto,((((signed(A)*256)+B)/64)-32)*5/9,-40.0,148.88888888888889,°C,((signed(A)*256)+B)/64,-40.0,300.0,°F,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Wastegate Duty Cycle,WG DC,22,0462,220462,Auto,Auto,Auto,A*(100/255),0.0,100.0,%,A*(100/255),0.0,100.0,%,Ford EcoBoost (1.5/2.0/2.3/3.5L),ecoboost_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Wastegate Duty Cycle Commanded,WGDC,22,0462,220462,Auto,Auto,Auto,((A*256)+B)/327.68,0.0,100.0,%,((A*256)+B)/327.68,0.0,100.0,%,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Throttle Inlet Pressure Desired Absolute,TIP Desired Abs,22,0466,220466,Auto,Auto,Auto,(((A*256)+B)/903.8107848)/0.145038,0.0,413.6846895296405,kPa,((A*256)+B)/903.8107848,0.0,60.0,psi,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Injection Mode,Inj Mode,22,046F,22046F,Auto,Auto,Auto,A,0.0,7.0,,A,0.0,7.0,,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Low Pressure Fuel Pressure Actual,LPFP Actual,22,0548,220548,Auto,Auto,Auto,(((signed(A)*256)+B)/13.78921)/0.145038,0.0,1378.9489650988016,kPa,((signed(A)*256)+B)/13.78921,0.0,200.0,psi,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Low Pressure Fuel Pressure Sensor Voltage,LPFP Sensor V,22,054D,22054D,Auto,Auto,Auto,((signed(A)*256)+B)/1024,0.0,5.0,V,((signed(A)*256)+B)/1024,0.0,5.0,V,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
DPF Soot Load % (Euro),DPF Load,22,057B,22057B,7E0,PCM/ECM,HS-CAN likely,B,0.0,100.0,%,B,0.0,100.0,%,Ford TDCi / EcoBlue (1.6/2.0),diesel_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
DPF Soot Mass % 6.7L,DPF Mass,22,057B,22057B,7E0,PCM/ECM,HS-CAN likely,((A*256)+B)*(100/65535),0.0,100.0,%,((A*256)+B)*(100/65535),0.0,100.0,%,Ford PowerStroke 6.7L,powersroke_non_smax,candidate,User-provided Gemini deepsearch,Mostly non-S-Max; kept as Ford reference candidate.
Ambient Air Temperature,AAT,22,057D,22057D,Auto,Auto,Auto,((((A/2)-40)*1.8+32)-32)*5/9,-40.0,82.22222222222223,°C,((A/2)-40)*1.8+32,-40.0,180.0,°F,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Active Engine Op Mode (DPF),DPF Mode,22,060E,22060E,7E0,PCM/ECM,HS-CAN likely,A,0.0,9.0,Mode,A,0.0,9.0,Mode,"Ford TDCi (0=Norm, 1=Heat, 2=Regen)",diesel_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Grill Shutter Duty Cycle Requested,Grill Shutter DC,22,0707,220707,Auto,Auto,Auto,A/2.55,0.0,100.0,%,A/2.55,0.0,100.0,%,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Electronic Throttle Control Angle Desired,ETC Angle Desired,22,091A,22091A,Auto,Auto,Auto,((A*256)+B)/512,0.0,90.0,°,((A*256)+B)/512,0.0,90.0,°,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Electronic Throttle Control Angle Actual,ETC Angle Actual,22,093C,22093C,Auto,Auto,Auto,((A*256)+B)/512,0.0,90.0,°,((A*256)+B)/512,0.0,90.0,°,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
